"list_name","name","label","label::العربية (ar)","municipality_label"
"business","ADD-AD-9999","ADD - ABU DHABI","اضافة - أبوظبي","ADM"
"business","CN-2241922","MODERN AL RAYAN TRAVEL L.L.C - BRANCH 2"," 2 الريان الحديثة للسفر ذ م م - فرع","ADM"
"business","CN-1193599","8 OVER 8 LIMITED - ABU DHABI","ـ 8 أوفر 8 ليمتد - أبوظبي","ADM"
"business","CN-1220788","MIDDLE EAST FUJI  INTERNATIONAL GENERAL TRADING L.L.C.","الشرق الاوسط فوجى الدولية  للتجارة العامة  ذ.م.م","ADM"
"business","CN-1030585","AL AKKAM MOBILE PHONES ","العكام للهواتف المتحركة ","ADM"
"business","CN-1150224","FAHD AL BARRI GENERAL TRANSPORT ","الفهد البري للنقليات العامة  ","ADM"
"business","CN-1298819","YELLOW  FLOWER PAINTS TRADING","الوردة الصفراء لتجارة الدهانات","ADM"
"business","CN-1411521"," A V C PETS ACCOMMODATION  L.L.C."," اي في سي لايواء الحيوانات  ذ.م.م","ADM"
"business","CN-1234630","HDR MIDDLE EAST LLC"," إتش دي آر الشرق الأوسط ذ.م.م","ADM"
"business","CN-1454584","BRIGHT DIAMOND BEAUTY CENTER ","برايت دايموند بيوتي سنتر","ADM"
"business","CN-1200554-1","BLOOMS BURY‘S  COFFEE SHOP  - L L C -  BRANCH 1","بلومس باريس كوفي شوب - ذ م م -   فرع 1","ADM"
"business","CN-1162171-1","BAIN AL JUSRAIN  COMPUTER -  BRANCH 1","بين الجسرين للكمبيوتر -   فرع 1","ADM"
"business","CN-1196309-1","TARTS SWEET HOUSE -LLC -  BRANCH 1"," تارتس سويت هاوس  - ذ م م ذ.م.م -   فرع 1","ADM"
"business","CN-1353014","WADI GUJRAT GENTS SALOON ","صالون وادي كجرات للرجال","ADM"
"business","CN-1445945","CAPITAL OF EMIRATES TECHNICAL SYSTEMS ","كابيتال امارتس تكنيكال سيستمز ","ADM"
"business","CN-1014168","A TOUCH OF CLASS"," لمسات الديكور","ADM"
"business","CN-1248066","LAUNDRISTIC L.L.C."," لوندرستك ذ.م.م","ADM"
"business","CN-1194363","MASAOOD TECHNOLOGY SERVICES (MTECH) L.L.C.","مسعود تكنولوجي سيرفيسز( ام تك) ذ.م.م","ADM"
"business","CN-1095458","TOTAL INTERIOR SOLUTIONS (TIS)","(توتل انتيريور سوليوشنز (تي.آي.اس","ADM"
"business","CN-2070540","AMEX (MIDDLE EAST) B S C (CLOSED) ABU DHABI","(شركة اميكس ) الشرق الاوسط ( ش م ب ) مقفله -ابوظبي","ADM"
"business","CN-1002047","ABU DHABI OIL COMPANY LIMITED (JAPAN)","(شركة نفط ابوظبى المحدودةـ(اليابان","ADM"
"business","CN-1077362",".شركة ال سالمين للاستثمار - ذ م م",".شركة ال سالمين للاستثمار - ذ م م","ADM"
"business","CN-1026016","007 MOBILE PHONES","007 للهواتف المتحركة","ADM"
"business","CN-1045507","MOBILE PHONE 02","02 للهواتف المتحركة","ADM"
"business","CN-2240812","FLAMINGO HOTEL APARTMENTS L.L.C - 1","1- فلامنكو للشقق الفندقية ذ.م.م","ADM"
